step,expert_sb,prefix_pages,alloc_kv,ever_activated
0,48,0,0,8
12800,64,40,8,63
25600,64,80,16,64
38400,64,140,3,64
51200,64,180,11,64
64000,64,220,19,64
76800,64,280,6,64
89600,63,271,15,64
102400,64,284,2,64
115200,64,276,10,64
128000,64,268,18,64
140800,63,281,5,64
153600,64,273,13,64
166400,64,286,1,64
179200,63,280,9,64
192000,63,269,17,64
204800,64,282,4,64
217600,64,274,12,64
230400,64,266,20,64
243200,63,279,7,64
256000,64,271,16,64
268800,63,299,3,64
281600,63,275,11,64
294400,63,267,19,64
307200,63,280,6,64
320000,63,272,14,64
332800,63,243,43,64
345600,63,200,93,64
358400,63,200,143,64
371200,62,391,1,64
384000,62,391,51,64
396800,61,391,101,64
409600,61,391,151,64
422400,60,547,45,64
435200,60,547,95,64
448000,59,547,145,64
460800,59,738,3,64
473600,58,738,53,64
486400,58,738,103,64
499200,57,738,153,64
512000,57,929,11,64
524800,56,929,61,64
537600,56,929,111,64
550400,55,909,161,64
563200,55,1100,19,64
576000,54,1100,69,64
588800,54,1100,119,64
601600,53,1100,169,64
614400,53,1291,27,64
627200,52,1291,77,64
640000,52,1291,127,64
652800,51,1291,177,64
665600,51,1482,35,64
678400,51,1449,85,64
691200,50,1442,135,64
704000,50,1442,185,64
716800,49,1613,44,64
729600,49,1613,94,64
742400,48,1593,144,64
755200,48,1784,2,64
768000,47,1784,52,64
780800,47,1784,102,64
793600,46,1784,152,64
806400,46,1975,10,64
819200,45,1975,60,64
832000,45,1975,110,64
844800,44,1975,160,64
857600,44,2166,18,64
870400,43,2146,68,64
883200,43,2146,118,64
896000,42,2146,168,64
908800,42,2337,26,64
921600,42,2322,76,64
934400,41,2317,126,64
947200,41,2317,176,64
960000,40,2508,34,64
972800,39,2508,84,64
985600,39,2508,134,64
998400,38,2508,184,64
1011200,38,2699,42,64
1024000,37,2699,92,64
1036800,37,2699,142,64
1049600,36,2890,0,64
1062400,36,2890,50,64
1075200,36,2874,100,64
1088000,35,2870,150,64
1100800,35,2870,191,64
