step,expert_sb,prefix_pages,alloc_kv,ever_activated
0,48,0,0,8
12800,51,0,50,8
25600,51,0,100,8
38400,51,0,150,8
51200,53,191,8,12
64000,53,191,58,12
76800,53,191,108,12
89600,53,347,1,15
102400,53,347,51,15
115200,53,347,101,15
128000,53,347,151,15
140800,53,538,9,17
153600,53,538,59,17
166400,53,538,109,17
179200,53,538,159,17
192000,53,729,18,18
204800,53,729,68,18
217600,53,729,118,18
230400,53,729,168,18
243200,54,920,26,21
256000,54,920,76,21
268800,54,920,126,21
281600,54,920,176,21
294400,54,1111,34,23
307200,53,1111,84,23
320000,53,1111,134,23
332800,52,1111,184,23
345600,51,1302,42,24
358400,51,1302,92,24
371200,50,1302,142,24
384000,51,1493,0,24
396800,50,1493,50,24
409600,50,1493,100,24
422400,49,1493,150,24
435200,49,1684,8,25
448000,48,1684,58,25
460800,48,1684,108,25
473600,47,1684,158,25
486400,47,1875,16,27
499200,46,1875,66,27
512000,46,1875,116,27
524800,45,1875,166,27
537600,45,2066,24,28
550400,44,2066,74,28
563200,44,2066,124,28
576000,43,2066,174,28
588800,43,2257,32,28
601600,42,2257,82,28
614400,42,2257,132,28
627200,41,2257,182,28
640000,41,2448,40,29
652800,40,2448,90,29
665600,40,2448,140,29
678400,39,2448,190,29
691200,38,2639,48,29
704000,38,2639,98,29
716800,37,2639,148,29
729600,37,2830,6,29
742400,36,2830,56,29
755200,36,2830,106,29
768000,35,2830,156,29
780800,39,2590,0,40
793600,61,375,8,64
806400,63,282,16,64
819200,64,283,3,64
832000,64,275,12,64
844800,64,266,20,64
857600,63,280,7,64
870400,62,271,15,64
883200,63,299,2,64
896000,64,276,10,64
908800,64,268,18,64
921600,63,280,6,64
934400,64,272,14,64
947200,64,285,1,64
960000,63,280,9,64
972800,63,279,17,64
985600,63,282,4,64
998400,64,274,12,64
1011200,64,286,0,64
1024000,64,278,8,64
1036800,64,270,16,64
1049600,63,299,3,64
1062400,63,275,11,64
1075200,62,267,19,64
1088000,63,280,7,64
1100800,63,271,15,64
